EmployeeID,Name,Experience_Years,Education_Level,Age,Gender,Monthly_Salary,Experience_Category,Age_Group,Salary_Per_Experience,Is_Senior,Education_Level_Encoded,Gender_Encoded,Department_Hr,Department_It,Department_Marketing,Department_Operations,City_Chennai,City_Delhi,City_Hyderabad,City_Mumbai,Salary_Bracket_Low,Salary_Bracket_Medium
1,Employee_1,0.9629500128629351,Master,1.1589874567348928,Female,0.8777342810830604,Expert,46-55,-0.43391829713929353,True,3,0,0,0,1,0,0,1,0,0,0,0
2,Employee_2,-0.5475598112357868,Bachelor,-1.292043418535273,Female,0.3912124057196197,Mid-Level,20-25,0.16515280862429677,False,2,0,0,0,0,1,0,0,0,0,0,1
3,Employee_3,0.39650882882591443,High school,0.9839138227870239,Female,-0.39852304102238667,Senior,46-55,-0.6339025798330349,True,0,0,0,1,0,0,0,0,1,0,0,1
4,Employee_4,-0.35874608322344653,Phd,0.37115610396948245,Male,0.38578819156257915,Mid-Level,36-45,0.002439707692442347,False,4,1,0,0,0,1,0,1,0,0,0,1
5,Employee_5,0.9629500128629351,Master,-0.32913843182199354,Female,1.511583839856341,Expert,36-45,-0.27466771403599805,True,3,0,0,0,0,1,0,1,0,0,0,0
6,Employee_6,-1.3028147232851477,High school,0.8963770058130894,Male,-0.4963397029876842,Junior,46-55,0.7157991388088875,False,0,1,0,0,0,0,0,0,0,1,0,1
7,Employee_7,0.7741362848505949,Phd,1.5091347246306308,Male,-0.3544965027810744,Senior,55+,-0.707911471782864,True,4,1,0,1,0,0,0,0,0,1,0,1
8,Employee_8,1.3405774688876155,Phd,-0.5042120657698625,Female,-1.1288030736986099,Expert,26-35,-0.9757602756247352,True,4,0,0,1,0,0,0,0,0,0,1,0
9,Employee_9,-1.1140009952728074,Bachelor,1.1589874567348928,Male,-1.2011560636489116,Junior,46-55,-0.24951045257666418,False,2,1,0,1,0,0,0,0,1,0,1,0
10,Employee_10,1.5293911968999558,High school,-1.0294329676134695,Male,-1.5186533989743507,Expert,26-35,-1.0741212137782292,True,0,1,0,0,0,1,0,0,0,1,1,0
11,Employee_11,-0.35874608322344653,Phd,0.28361928699554795,Male,1.7807152656148353,Mid-Level,36-45,0.62549102074974,False,4,1,0,0,1,0,0,1,0,0,0,0
12,Employee_12,-1.1140009952728074,Master,0.8088401888391549,Female,0.6816489393060453,Junior,46-55,1.2642256215576178,False,3,0,0,1,0,0,0,0,1,0,0,0
13,Employee_13,-1.491628451297488,Master,-1.4671170524831418,Female,-0.30001328502591174,Junior,20-25,1.6432895558710776,False,3,0,0,0,0,1,0,0,1,0,0,1
14,Employee_14,-0.736373539248127,Bachelor,-1.116969784587404,Male,-1.6228284453126234,Mid-Level,26-35,-0.7853645777954585,False,2,1,0,0,0,0,0,1,0,0,1,0
15,Employee_15,0.018881372801233958,Phd,0.8088401888391549,Female,0.5123230540370968,Senior,46-55,-0.18402784400361336,True,4,0,0,0,1,0,0,0,0,1,0,1
16,Employee_16,-1.1140009952728074,High school,0.8088401888391549,Female,0.5702717419481464,Junior,46-55,1.1746806706933361,False,0,0,0,0,0,0,0,1,0,0,0,0
17,Employee_17,1.5293911968999558,Master,0.10854565304767895,Female,-1.5487276530228309,Expert,36-45,-1.0804841282350073,True,3,0,0,0,1,0,0,0,1,0,1,0
